,0
3648,thick  as thieves
3649,thick  as two short  planks
3650, out  air
3651,be all  all
3652,put  cap
3653,a  in
3654,be  to
3655, a  by
3656,a  in
3657, the  tiles
3658,have  with  your  fingers
3659, hand  the  cookie
3660,at  full  tilt
3661, Edith  Wharton
3662,tilt  at  windmills
3663,give  someone the time of day
3664, Salman  Rushdie
3665,know  the time of day
3666,pass  the time of day
3667,take  time by the  forelock:
3668,time  and tide  wait  for no man
3669,time  immemorial
3670,time  is money
3671,time  was
3672,only time  will  tell
3673,have  a tin
3674,little  tin god:
3675, the  lid
3676, Patrick  O'Brian
3677, on the  of  your  tongue  Q
3678, Bernard  MacLaverty
3679, your  hand
3680,1966  Martin  Woodhouse
3681,tip  your  hat
3682,tip  someone off
3683,tip  turn  the  scales
3684,tip  someone the  wink
3685,tit  for  tat
3686,be  toast
3687,have  someone on toast
3688,dig  in  your  toes:
3689, dig in  your  heels
3690,make  someone's toes  curl
3691,1984  Paul  Prudhomme
3692,on  your  toes
3693, John  Dos  Passos
3694,a  toe  in  the  door
3695,by  the same token
3696,1975  Frederick  Exley
3697,"Tom,  Dick, and  Harry"
3698,Tom  Tiddler's  ground
3699,as  if  there  was
3700,tomorrow  is  another  day
3701,the  gift of tongues
3702,with  forked tongue:
3703,fight  tooth and  nail
3704,from  top to bottom
3705,off  the top of  your  head:
3706,on top of the  world
3707,over  the top
3708,top  and  tail  Q
3709,top  dollar
3710,the  top of the tree
3711,carry  a  torch  for
3712,hand  on
3713, pass the  torch
3714,put  to the  torch
3715, put  a  torch  to
3716,lose  your  touch
3717,touch  bottom Q
3718,tough  out
3719,make  tracks  for
3720, much as the  traffic  will  bear
3721,tragedy  of the  commons
3722,trail  drag  your  coat
3723,1980  Ditton
3724,over  the  transom
3725,1976  Piers  Anthony
3726,tread  water  Q
3727,tread  on  air:
3728, walk  on  air
3729, a  treat
3730,1988  Ray  Pickernell
3731,out  of  your  tree
3732,up  a  tree
3733,trial  and  error
3734,trial  by  television
3735,in  a  trice
3736,a  bag of  tricks:
3737,a  box of  tricks:
3738,do  the  trick
3739,1990  Niki  Hill
3740,have  want  no  truck  with
3741, of  true
3742, the  true
3743,blow  your  own  trumpet
3744,come  turn  up  trumps  Qof
3745, your  hand
3746,tuned  in
3747, the  the
3748,1994  James  Kelman
3749,an  ugly  duckling
3750,in  no  uncertain  terms
3751,1991  Kaye  Gibbons
3752,cry  say
3753, yell  uncle
3754,1989  Guy  Vanderhaeghe
3755,the  unco  guid
3756,under  age
3757,the  university  of life
3758,the  late  unpleasantness
3759,get  untracked
3760,the  great  unwashed
3761,it  is all up with
3762,be  up on
3763,something  is up
3764,1994  Marianne  Williamson
3765,up  against it
3766,up  and about
3767, and  running
3768, hill  and down dale
3769,on the  upgrade
3770,have  gain  the  upper  hand
3771,on  your  uppers
3772, upper  crust
3773,upset  the apple  cart:
3774, quick  slow  on the  uptake
3775,upwardly  mobile:
3776, up and  the
3777,be a  up
3778,run  can
3779,1989  Shaar  Murray
3780, you and  and
3781,go to the  wall  Qof
3782,off  the  wall
3783,up  against  the  wall
3784,wall-to-wall  ©of
3785,walls  have  ears
3786,waltz  Matilda:
3787,a  war  of  nerves
3788,a  war  of  words
3789,have  been in the  wars
3790,a  war  to end all  wars
3791,keep  something  warm  for someone
3792,make  it  or  things  warm  for someone
3793,warm  as toast
3794,1991  W.  P.
3795,warn  someone off
3796,on  the  warpath
3797,warts  and all
3798,come  out in the  wash
3799,wash  your  dirty  linen in  public
3800,wash  your  hands of
3801,"or  incompetent,"
3802,watch  someone's  smoke:
3803,watch  this  space:
3804,1996  Outdoor
3805,watch your step:  mind your step
3806,"cannot  sleep,"
3807,cast  your bread upon the  waters:
3808,1991  Mark  Tully
3809,like  to
3810,like  water  duck's
3811,"impression,  ©cause  trouble,"
3812,someone's  hands
3813,have  both
3814,1982  Frank
3815,1992  Fraser
3816,all  wet
3817,a  wet  blanket
3818,out  of  whack
3819,top  full  whack
3820,a  whale of a
3821,and  what  not
3822,what  with
3823,spin  your  wheels
3824,wheel  and deal
3825, wheel of  Fortune
3826,wheels  within wheels
3827,reap  the  whirlwind
3828,within  a  whisker  of
3829,blow  whistle  on
3830,whistle  in the  dark
3831,whistle  in the wind
3832, whited  sepulchre
3833,whiter  than white
3834, whole nine  yards
3835,whoop  it up
3836,make  whoopee
3837, whys and  wherefores
3838, your  wick
3839,get on someone's  wick
3840, peace  rest  for the wicked
3841, sticky  wicket ©a
3842,give  a wide berth to:
3843, widow's  cruse
3844,flip  your
3845, flip  your  lid
3846,wigs  on the green
3847,1996  Frank  McCourt
3848,get  a wiggle on
3849,sow  your  wild  oats:
3850,wild  and woolly
3851,spread  like  wildfire
3852,a  wild goose chase
3853,will  o' the wisp  Qa
3854,with  the  best  will  in  the  world
3855,with  a  will
3856,1984  Bernard  MacLaverty
3857,wear  the green willow  Q
3858,win  the  day:
3859,win  earn  your  spurs
3860,win  the wooden spoon:
3861,between  wind and  water
3862,1967  Michael  Gilbert
3863,get  wind of
3864,it's  an ill wind
3865,sail  close to
3866," dishonesty, or  disaster,"
3867,1996  Martin  Dove
3868,1977  Eva  Figes
3869,01995  Kate  Atkinson
3870,mill^  act recklessly or
3871,1933  John  Galsworthy
3872,go out of the window  a
3873,opportunity  for
3874, something  that
3875,attack  something that is at
3876,in  relation to.
3877,by  them
3878,slightest  of
3879, Alice  Thomas  Ellis
3880, at  your  wits'  end
3881,gather  collect  your  wits
3882, Géraldine  McCaughrean
3883,live  by  your  wits
3884, your  wits  against
3885, Earl  Lovelace
3886,wither  on the  vine
3887,keep  the wolf  from  the door
3888,throw  someone to the wolves
3889,a  woman of  letters:
3890, a man  of  letters
3891,a  woman of the  world:
3892,a  nine  days'  wonder
3893,work  do  wonders
3894,1997  Paul  Wilson
3895,cannot  see the wood for the  trees
3896,out  of the wood  or  woods
3897,touch  wood
3898,1991  Rohinton  Mistry
3899,accept  a wooden  nickel:
3900,win  the wooden spoon:
3901,wooden  nutmeg:
3902,take  someone to the woodshed
3903,vanish  into
3904,all  wool and  a  yard  wide
3905,1974  Anthony  Gilbert
3906,pull  the wool  over  someone's eyes
3907,in  words  of one  syllable:
3908,a  man
3909, woman  of few  words
3910,not  the  word  for it
3911,someone's  word  is law
3912,someone's  word  is  their  bond
3913,take  someone at  their  word
3914,take  someone's  word  for it
3915,too  for  words
3916,word  of mouth
3917, word  on the street
3918, word  to the wise
3919,give  someone the  works
3920,have  your  work  cut out
3921, the  works
3922,work  like  a  beaver:
3923,work  to  rule
3924, bad  workman  blames  his tools
3925,carry  the  world  before you
3926,come  up in the  world
3927,go down in the  world
3928,look  the  world  like
3929, man  woman  of the  world
3930, be long for  this  world:
3931, of  this  world
3932, someone  through  the  wringer
3933, Louise  Erdrich
3934,writ  large
3935,your  writ  runs
3936,nothing  to  write  home about
3937, Nina  Bawden
3938, writing  is on the  wall
3939,your  face
3940, someone  wrong
3941,go down the  wrong  way
3942,and  that's  all she  wrote
3943,by  the  yard
3944,spin  a  yarn
3945,the  year  dot:
3946,yes  and no
3947,yesterday's  man
3948,yesterday's  news
3949, wide  blue
3950,you  and  yours
